,cleaan_entity_name,restaurant_name,entity_sentiment_score
2,burrito,Lupe Tortilla,0.19600000321865083
0,burrito,Baby Acapulco,0.0
83,tortilla,Sabor Tapatio,0.5149999998509884
87,tortilla,Trippy Tacos,0.4733333299557368
88,tortilla,Yucatan Tacos And More,0.3585365876192
79,tortilla,El Chile Café Y Cantina,0.267857141393636
82,tortilla,Pollo Regio,0.25094339701364626
85,tortilla,Simar Seafood Cocina,0.23333333598242867
84,tortilla,Sazón,0.233333330684238
80,tortilla,Grizzelda's,0.21999999910593032
78,tortilla,Cisco's Restaurant Bakery & Bar,0.1087912088567084
86,tortilla,Tacodeli,0.015384620198836685
81,tortilla,Oz. Tap House,-0.1000000014901161
76,taco,Trippy Tacos,0.48194444210578996
72,taco,Sabor Tapatio,0.44742267813111086
77,taco,Yucatan Tacos And More,0.4379888246429033
70,taco,Oz. Tap House,0.42307691791882884
75,taco,Tacodeli,0.3343195265831327
73,taco,Sazón,0.3255319149887308
71,taco,Pollo Regio,0.2875000016763806
67,taco,Cisco's Restaurant Bakery & Bar,0.27611940337428403
74,taco,Simar Seafood Cocina,0.25
69,taco,Grizzelda's,0.21904761748654503
68,taco,El Chile Café Y Cantina,0.19859154900194895
65,steak,Tacodeli,0.42000000178813934
66,steak,Trippy Tacos,0.3333333383003871
63,steak,Pollo Regio,0.30000000447034836
64,steak,Simar Seafood Cocina,0.3000000019868215
60,steak,El Chile Café Y Cantina,0.2812499972060323
61,steak,Grizzelda's,0.24137931060174417
62,steak,Oz. Tap House,0.1750000063329935
59,steak,Cisco's Restaurant Bakery & Bar,0.11052631037799936
57,shrimp,Trippy Tacos,0.7000000029802322
56,shrimp,Simar Seafood Cocina,0.38717948282376313
55,shrimp,Sazón,0.35555556002590394
51,shrimp,El Chile Café Y Cantina,0.29787234137666985
52,shrimp,Grizzelda's,0.29473684492864105
53,shrimp,Oz. Tap House,0.0
54,shrimp,Sabor Tapatio,0.0
58,shrimp,Yucatan Tacos And More,-0.5
48,quesadilla,Simar Seafood Cocina,0.8999999761581421
43,quesadilla,Grizzelda's,0.38571429146187647
46,quesadilla,Sabor Tapatio,0.34999999882919447
47,quesadilla,Sazón,0.3200000062584877
44,quesadilla,Oz. Tap House,0.2749999947845936
45,quesadilla,Pollo Regio,0.2571428545883724
50,quesadilla,Yucatan Tacos And More,0.25
42,quesadilla,El Chile Café Y Cantina,0.13999999761581422
41,quesadilla,Cisco's Restaurant Bakery & Bar,0.1000000014901161
49,quesadilla,Tacodeli,0.0
40,fish,Yucatan Tacos And More,0.5
34,fish,Oz. Tap House,0.488888890379005
39,fish,Tacodeli,0.3000000119209289
37,fish,Sazón,0.2590909078717232
32,fish,El Chile Café Y Cantina,0.25106382829711793
33,fish,Grizzelda's,0.23157894768212972
38,fish,Simar Seafood Cocina,0.17111110985279082
35,fish,Pollo Regio,0.0
36,fish,Sabor Tapatio,0.0
28,fajita,Sabor Tapatio,0.800000011920929
29,fajita,Sazón,0.46153846039221835
31,fajita,Yucatan Tacos And More,0.45555556151602006
30,fajita,Trippy Tacos,0.37499999813735485
26,fajita,Grizzelda's,0.2349999997764826
24,fajita,Cisco's Restaurant Bakery & Bar,0.14833333591620126
25,fajita,El Chile Café Y Cantina,0.11153846119458859
27,fajita,Pollo Regio,0.0
22,enchilada,Pollo Regio,0.8999999761581421
23,enchilada,Sazón,0.30845070462411556
20,enchilada,El Chile Café Y Cantina,0.2681818168441003
21,enchilada,Grizzelda's,0.19166667014360428
19,enchilada,Cisco's Restaurant Bakery & Bar,0.15714285930707342
18,chicken,Yucatan Tacos And More,0.7000000178813934
13,chicken,Sabor Tapatio,0.6499999910593033
11,chicken,Oz. Tap House,0.38571429146187647
12,chicken,Pollo Regio,0.32254335159338965
17,chicken,Trippy Tacos,0.3142857125827244
8,chicken,Cisco's Restaurant Bakery & Bar,0.19411764776005463
14,chicken,Sazón,0.18085106382978725
9,chicken,El Chile Café Y Cantina,0.1622222226527002
10,chicken,Grizzelda's,0.042857145269711815
16,chicken,Tacodeli,0.007692303795080919
15,chicken,Simar Seafood Cocina,-0.050000004470348344
0,burrito,Cisco's Restaurant Bakery & Bar,0.7000000178813934
1,burrito,El Chile Café Y Cantina,0.399999996026357
7,burrito,Yucatan Tacos And More,0.35714286246470045
3,burrito,Pollo Regio,0.27500000409781933
4,burrito,Sabor Tapatio,0.22222222056653765
2,burrito,Grizzelda's,0.1000000014901161
6,burrito,Simar Seafood Cocina,0.0
5,burrito,Sazón,-0.05000000074505805
