restaurant_name,id,attributes
Curra's Grill,#NAME?,"['Heath Score: 94 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Comedor,TSKMu1M0HAFoPvCZuJxx1w,"['Heath Score: 87 out of 100', 'Takes Reservations', 'Staff wears masks', 'Pescatarian Options']"
La Cocina de Consuelo,1mgAhLHRWJjJkJ2GbwrWUA,"['Heath Score: 94 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
Torchy's Tacos,bwuSbB0PyXHDHHj6PA_QiQ,"['Heath Score: 86 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Z'Tejas - Austin 6 STREET,pp73b2zGEwRbwSgYYvB2Dg,"['Heath Score: 57 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
Cuantos Tacos,IHVluPs_KKEIqX2UUFQDYg,"['Offers Delivery', 'Offers Takeout', 'Accepts Credit Cards', 'Outdoor Seating']"
Taco More,i-uz0Hv4kttlmb15iJRvNg,"['Heath Score: 96 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Torchy's Tacos,KJKGptN6mhZarT2SNGI1Kw,"['Heath Score: 92 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Nixta Taqueria,FCDU2f5YXSa0F5cxoMcA8Q,"['Heath Score: 87 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Con Madre Kitchen,AFmmjtNuVfEyP_BMmrcOtg,"['Offers Delivery', 'Offers Takeout', 'All staff fully vaccinated', 'No Reservations']"
Vaquero Taquero,FWppPI6i6GJ1EXtT7U3G4Q,"['Heath Score: 85 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Burrito Factory,CfXB2vQ0_wLzwhVUpkj-XA,"['Heath Score: 82 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
La Tunita 512,gXlrgQkkdCc9iESuRlN_Uw,"['Offers Delivery', 'Masks required', 'Accepts Credit Cards', 'Outdoor Seating']"
Tacos Guerrero,MiRr3aHDWpryg7YZC30hkg,"['Offers Takeout', 'Many Vegetarian Options', 'No Reservations', 'No Delivery']"
Güero's Taco Bar,B-iYNDpW71lySdtDKoX0nQ,"['Heath Score: 92 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Polvos South,RKJq9UPMQhVoRMtnPdhiWw,"['Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Masks required']"
Joe's Bakery & Coffee Shop,GHo8JLtFJfIM-uhk8bRXZw,"['Heath Score: 95 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
Taco Flats,HnyCxHXrCuZnlemW_1FrKw,"['Heath Score: 80 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Iron Cactus Mexican Restaurant and Margarita Bar,tO3jMM7UApHkj6LtG0Rgng,"['Heath Score: 81 out of 100', 'Offers Takeout', 'Staff wears masks', 'No Reservations']"
Torchy's Tacos,irXjl1l2cMSI6k027jUpjg,"['Heath Score: 95 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Casa Chapala Mexican Cuisine & Tequila Bar,zM98ZSIJyuBQabyYornLpw,"['Heath Score: 82 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
Julio's Café,digUTaXtbnaO9rL1oCfhHQ,"['Heath Score: 85 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Torchy's Tacos,7b7OOWYTm6bAzbFEWbV5Cg,"['Heath Score: 88 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Dos Batos,WnP9a3Lj_wszdSyJuhernA,"['Heath Score: 92 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Tacodeli,Ymr0gtRtsRZZwgxpIlr0Wg,"['Heath Score: 88 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
De Nada Cantina,taRtJ8b4eEBm5mdT09IqFA,"['Heath Score: 85 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
Torchy's Tacos,tt9gTrwhd_3v6AoQesEZmw,"['Heath Score: 90 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Paprika ATX,dxtcChjSodta7nx4_4QNZg,"['Offers Delivery', 'Offers Takeout', 'Masks required', 'Staff wears masks']"
