restaurant_name,id,attributes
Torchy's Tacos,tt9gTrwhd_3v6AoQesEZmw,Offers Takeout
Paprika ATX,dxtcChjSodta7nx4_4QNZg,Offers Delivery
Paprika ATX,dxtcChjSodta7nx4_4QNZg,Offers Takeout
Paprika ATX,dxtcChjSodta7nx4_4QNZg,Masks required
Paprika ATX,dxtcChjSodta7nx4_4QNZg,Staff wears masks
Flavia's Kitchen,_Nb-nFJ0AWbDT0EtiKcdoA,Offers Delivery
Flavia's Kitchen,_Nb-nFJ0AWbDT0EtiKcdoA,Offers Takeout
Flavia's Kitchen,_Nb-nFJ0AWbDT0EtiKcdoA,Masks required
ñoños tacos,knOY5Nt5GlmIxAadPlirvQ,Health Score
ñoños tacos,knOY5Nt5GlmIxAadPlirvQ,Offers Delivery
ñoños tacos,knOY5Nt5GlmIxAadPlirvQ,Offers Takeout
Discada,kLLx0hlm7yyraE8EeT2-sQ,Offers Delivery
Discada,kLLx0hlm7yyraE8EeT2-sQ,Offers Takeout
Discada,kLLx0hlm7yyraE8EeT2-sQ,Many Vegetarian Options
Chuy's,k69jIL6VfzuIMmED_CEAkg,Health Score
Chuy's,k69jIL6VfzuIMmED_CEAkg,Offers Delivery
Chuy's,k69jIL6VfzuIMmED_CEAkg,Offers Takeout
Tamale House East,irE73-NU8kJ35AvY-R9zig,Health Score
Tamale House East,irE73-NU8kJ35AvY-R9zig,Offers Delivery
Tamale House East,irE73-NU8kJ35AvY-R9zig,Offers Takeout
Fresa's - South 1st,QT7_styx37g2-zwle0KhPw,Health Score
Fresa's - South 1st,QT7_styx37g2-zwle0KhPw,Takes Reservations
Fresa's - South 1st,QT7_styx37g2-zwle0KhPw,Offers Delivery
Fresa's - South 1st,QT7_styx37g2-zwle0KhPw,Offers Takeout
El Borrego De Oro,e8oZY1y1DTCSlUh6-SzZZA,Health Score
El Borrego De Oro,e8oZY1y1DTCSlUh6-SzZZA,Offers Delivery
El Borrego De Oro,e8oZY1y1DTCSlUh6-SzZZA,Vegan Options
Gloria’s Latin Cuisine,bXLfGGLx61eEjjL2iKkO3g,Health Score
Gloria’s Latin Cuisine,bXLfGGLx61eEjjL2iKkO3g,Offers Delivery
Gloria’s Latin Cuisine,bXLfGGLx61eEjjL2iKkO3g,Offers Takeout
Veracruz All Natural,vuOfLg269Rr4-moMAidLqg,Offers Delivery
Veracruz All Natural,vuOfLg269Rr4-moMAidLqg,Offers Takeout
Veracruz All Natural,vuOfLg269Rr4-moMAidLqg,Masks required
El Taquito,5WzAkhu3JY7Eue1oyJFogg,Health Score
El Taquito,5WzAkhu3JY7Eue1oyJFogg,Offers Takeout
El Taquito,5WzAkhu3JY7Eue1oyJFogg,Masks required
Hecho En Mexico,nvrOGHRDucxeNkplIikM2A,Health Score
Hecho En Mexico,nvrOGHRDucxeNkplIikM2A,Takes Reservations
Hecho En Mexico,nvrOGHRDucxeNkplIikM2A,Offers Delivery
Hecho En Mexico,nvrOGHRDucxeNkplIikM2A,Offers Takeout
Nissi VegMex Vegan Mexican Cuisine,vptSlLUbi3Gp_NQ2VQ-VRA,Offers Delivery
Nissi VegMex Vegan Mexican Cuisine,vptSlLUbi3Gp_NQ2VQ-VRA,Offers Takeout
Nissi VegMex Vegan Mexican Cuisine,vptSlLUbi3Gp_NQ2VQ-VRA,Many Vegetarian Options
Austin Taco Project,00K-UTXqg9iDoMXB3QXh0A,Health Score
Austin Taco Project,00K-UTXqg9iDoMXB3QXh0A,Takes Reservations
Austin Taco Project,00K-UTXqg9iDoMXB3QXh0A,Offers Takeout
Taquero Mucho,GrnS4hEW6smYaIe_KzDOWw,Health Score
Taquero Mucho,GrnS4hEW6smYaIe_KzDOWw,Offers Delivery
Taquero Mucho,GrnS4hEW6smYaIe_KzDOWw,Masks required
Taco Pegaso,FmfWiim7h_DFeZ_lSS9M3g,Health Score
Taco Pegaso,FmfWiim7h_DFeZ_lSS9M3g,Accepts Apple Pay
Pepe’s Tacos,ec6X_eh2wyzFLqHbApAsuw,Offers Takeout
Pepe’s Tacos,ec6X_eh2wyzFLqHbApAsuw,Masks required
Pepe’s Tacos,ec6X_eh2wyzFLqHbApAsuw,Staff wears masks
Pepe’s Tacos,ec6X_eh2wyzFLqHbApAsuw,Accepts Apple Pay
Veracruz All Natural,WlVrMlMuDc133vhTUHgpRA,Health Score
Veracruz All Natural,WlVrMlMuDc133vhTUHgpRA,Offers Delivery
Veracruz All Natural,WlVrMlMuDc133vhTUHgpRA,Offers Takeout
Baby Acapulco,8DaOKltvuqXnh8zPGC2MFQ,Health Score
Baby Acapulco,8DaOKltvuqXnh8zPGC2MFQ,Takes Reservations
Baby Acapulco,8DaOKltvuqXnh8zPGC2MFQ,Offers Delivery
Baby Acapulco,8DaOKltvuqXnh8zPGC2MFQ,Offers Takeout
Tierra Linda Taqueria,nccYQ96JTx6bBCk1oFnBjQ,Health Score
Tierra Linda Taqueria,nccYQ96JTx6bBCk1oFnBjQ,Offers Delivery
Tierra Linda Taqueria,nccYQ96JTx6bBCk1oFnBjQ,Offers Takeout
Lupe Tortilla,eaI6pjS8ZdSIgeOLlJhg-w,Health Score
Lupe Tortilla,eaI6pjS8ZdSIgeOLlJhg-w,Offers Delivery
Lupe Tortilla,eaI6pjS8ZdSIgeOLlJhg-w,Offers Takeout
Ken's Subs Tacos & More,8tLzmoG8Dluy80_iULO-Xg,Health Score
